,R[t],IAT[t],IAT[t-1],IATC[t],IATC[t-1],BD[t],BD[t-1],BDC[t],BDC[t-1]
2016-05-04,0.004733,0.584958993,0.58677269,0,0,1.146070103,1.145534306,1,1
2016-05-05,0.005567,0.553951204,0.584958993,0,0,1.206079384,1.146070103,1,1
2016-05-06,-0.05707,0.639784225,0.553951204,1,0,1.092490388,1.206079384,0,1
2016-05-09,-0.042457,0.490536224,0.639784225,0,1,1.030337919,1.092490388,1,0
2016-05-10,0.00283,0.544321112,0.490536224,1,0,0.933358635,1.030337919,0,1
2016-05-11,-0.019285,0.738423611,0.544321112,1,1,0.979972987,0.933358635,1,0
2016-05-12,0.020624,0.526929867,0.738423611,0,1,1.027658933,0.979972987,1,1
2016-05-13,0.007049,0.644884675,0.526929867,1,0,0.992832118,1.027658933,0,1
2016-05-16,0.010733,0.546558313,0.644884675,0,1,1.02444415,0.992832118,1,0
2016-05-17,-0.01662,0.541623582,0.546558313,0,0,1.067843719,1.02444415,1,1
2016-05-18,-0.046948,0.514813997,0.541623582,0,0,1.078559662,1.067843719,1,1
2016-05-19,-0.000985,0.423770047,0.514813997,0,0,1.058199371,1.078559662,0,1
2016-05-20,0.011341,0.556289677,0.423770047,1,0,1.039982268,1.058199371,0,0
2016-05-23,0.032667,0.589461014,0.556289677,1,1,1.097312563,1.039982268,1,0
2016-05-24,-0.018886,0.625688939,0.589461014,1,1,0.996582699,1.097312563,0,1
2016-05-25,-0.006256,0.588006373,0.625688939,0,1,1.008370236,0.996582699,1,0
2016-05-26,0.004843,0.525502846,0.588006373,0,0,1.02069357,1.008370236,1,1
2016-05-27,-0.007711,0.574804126,0.525502846,1,0,0.946753564,1.02069357,0,1
2016-05-30,0.000486,0.539717818,0.574804126,0,1,1.029802122,0.946753564,1,0
2016-05-31,0.058738,0.447145574,0.539717818,0,0,1.245192576,1.029802122,1,1
2016-06-01,0.010087,0.447440185,0.447145574,1,0,1.157321843,1.245192576,0,1
2016-06-02,0.012256,0.4081925,0.447440185,0,1,1.178217932,1.157321843,1,0
2016-06-03,0.008072,0.468053736,0.4081925,1,0,1.015871396,1.178217932,0,1
2016-06-06,0.048488,0.440581277,0.468053736,0,1,1.251622142,1.015871396,1,0
2016-06-07,0.019941,0.37254459,0.440581277,0,0,1.509876368,1.251622142,1,1
2016-06-08,-0.014975,0.396942049,0.37254459,1,0,1.191612861,1.509876368,0,1
2016-06-13,-0.065878,0.300429385,0.396942049,0,1,1.116065463,1.191612861,1,0
2016-06-14,0.03255,0.278241508,0.300429385,0,0,1.104277926,1.116065463,0,1
2016-06-15,0.089317,0.245760665,0.278241508,0,0,1.504518396,1.104277926,1,0
2016-06-16,0.004421,0.302556107,0.245760665,1,0,1.465405205,1.504518396,0,1
2016-06-17,-0.018007,0.388287856,0.302556107,1,1,1.238227213,1.465405205,0,0
2016-06-27,0.018337,0.493712497,0.388287856,1,1,1.439686941,1.238227213,1,0
2016-06-28,0,0.332348626,0.493712497,0,1,1.248943156,1.439686941,0,1
2016-06-29,-0.019608,0.315739941,0.332348626,0,0,1.176074744,1.248943156,0,0
2016-06-30,-0.004082,0.316145031,0.315739941,1,0,1.157321843,1.176074744,0,0
2016-07-01,0.003279,0.593346194,0.316145031,1,1,1.179289527,1.157321843,1,0
2016-07-04,0.017565,0.56998908,0.593346194,0,1,1.213580544,1.179289527,1,1
2016-07-05,-0.006825,0.501565717,0.56998908,0,0,1.172324164,1.213580544,0,1
2016-07-06,-0.00768,0.499125971,0.501565717,0,0,1.164287206,1.172324164,0,0
